,City Name,Cloudiness,Humidity,Latitude,Temperature,Windiness
52,Ribeira Grande,88,97,38.52,19.36,8.61
53,Nuevo Progreso,12,94,23.17,24.99,4.51
54,Berlevag,0,67,70.86,-5.92,1.5
55,Abu Dhabi,0,100,24.47,17.89,0.46
56,Viransehir,80,97,37.24,5.59,1.11
57,Klaksvik,92,93,62.23,5.0,4.1
58,Moron,68,77,22.11,26.39,6.51
59,Yulara,75,33,-25.24,22.0,2.1
60,Muros,0,93,42.78,4.0,2.1
61,Diourbel,0,27,14.66,25.21,4.26
62,Barrow,90,91,71.29,-16.0,5.1
63,Kiunga,36,86,-6.12,28.09,1.26
64,Yellowknife,40,84,62.46,-18.0,1.5
65,Daru,64,97,-9.08,27.99,4.46
66,Sirvintos,90,98,55.05,1.73,7.2
67,Scottsbluff,1,32,41.87,5.42,10.3
68,Port Macquarie,0,60,-31.43,22.0,1.5
69,Luderitz,0,93,-26.65,14.06,5.86
70,Bubaque,0,54,11.28,27.0,1.5
71,Burnie,48,100,-41.07,16.11,2.46
72,Victoria,80,99,-4.62,27.71,7.46
73,Yantal,76,78,56.85,-9.44,3.01
74,New Norfolk,75,67,-42.78,14.0,1.0
75,East London,92,100,-33.02,19.64,8.71
76,Busselton,36,100,-33.65,17.64,5.21
77,Avarua,20,83,-21.21,28.0,8.7
78,Dikson,24,100,73.51,-20.54,11.81
79,Harper,36,100,4.38,26.21,1.96
80,Roald,0,100,62.58,0.57,2.6
81,Sao Filipe,0,95,14.9,24.91,6.66
82,Brawley,1,14,32.98,19.0,4.1
83,Lebu,32,97,-37.62,12.81,5.31
84,Qaanaaq,64,98,77.48,-14.67,1.96
85,Salisbury,90,87,35.67,16.7,5.46
86,Livingston,90,100,40.8,14.41,1.5
87,Mount Gambier,48,81,-37.83,18.76,0.91
88,Alofi,90,88,-19.06,27.0,2.1
89,Tasiilaq,0,52,65.61,-9.0,1.5
90,Hermanus,0,78,-34.42,15.71,4.46
91,Christchurch,20,60,-43.53,22.0,4.6
92,Georgetown,92,100,-7.93,24.31,5.91
93,Sinnamary,100,100,5.38,26.49,5.01
94,Butaritari,56,100,3.07,27.46,4.81
95,Saskylakh,12,38,71.92,-31.84,2.21
96,Denpasar,12,94,-8.65,25.11,0.61
97,Kopavogur,0,100,64.11,-2.29,4.71
98,Punta Arenas,0,87,-53.15,7.84,12.76
99,San Pedro,88,100,-16.24,7.89,1.11
100,Port Keats,0,77,-14.25,31.56,2.11
101,Severo-Kurilsk,92,100,50.68,-1.87,8.66
102,Saint-Augustin,8,100,51.23,-5.67,1.56
103,Ahipara,0,57,-35.17,24.71,3.06
104,Esperance,48,75,-33.87,17.56,5.81
105,New Glasgow,76,95,45.58,0.64,2.96
106,Andenes,75,69,69.31,2.0,7.7
107,Anlu,0,76,31.26,-2.89,1.16
108,Hithadhoo,44,100,-0.6,27.14,4.86
109,Port Hedland,32,78,-20.32,28.0,2.6
110,Skjervoy,48,100,70.03,-1.04,1.26
111,Atambua,0,95,-9.11,28.66,1.21
112,Thompson,90,77,55.74,-17.0,5.1
113,Kavieng,68,100,-2.57,26.36,3.41
114,Westport,44,58,-41.75,24.26,1.16
115,Dabakala,0,73,8.37,22.71,1.91
116,Sendhwa,92,86,21.68,19.56,6.81
117,Imeni Babushkina,92,92,59.76,-3.59,3.71
118,Ghanzi,24,77,-21.57,19.64,2.41
119,Kununurra,0,27,-15.77,33.46,1.96
120,Zhigansk,48,77,66.77,-38.84,2.51
121,Srednekolymsk,56,73,67.45,-23.79,1.11
122,Kodinsk,80,79,58.69,-6.14,3.36
123,Aklavik,20,83,68.22,-18.73,2.1
124,Tiksi,68,71,71.69,-21.02,1.36
125,Arlit,80,28,18.74,16.46,2.51
126,Arraial do Cabo,80,92,-22.97,23.41,6.66
127,Los Llanos de Aridane,0,60,28.66,20.0,4.6
128,Sinop,92,100,41.77,4.76,4.71
129,Bengkulu,48,100,-3.8,26.51,1.96
130,Ierapetra,90,87,35.01,10.0,5.7
131,San Vicente,20,65,-26.62,25.66,1.66
132,Mar del Plata,68,62,-38.0,20.41,4.71
133,Cuencame,0,40,24.87,19.34,1.06
134,Fairbanks,75,92,64.84,-8.4,4.6
135,Port Elizabeth,44,97,-33.92,19.71,9.96
136,Maragogi,0,94,-9.01,24.26,3.46
137,Husavik,92,100,66.04,-2.87,2.31
138,Khatanga,36,58,71.97,-28.84,6.26
139,Puerto Ayora,24,94,-0.74,22.84,5.81
140,Bardiyah,76,98,31.76,17.26,9.76
141,Zabol,0,100,31.03,-1.17,1.06
142,Xinpu,0,100,34.6,2.34,3.66
143,Inyonga,80,99,-6.72,17.11,0.31
144,La Asuncion,88,100,11.03,26.64,7.36
145,Ipilan,32,100,8.84,27.96,2.41
146,Banda Aceh,32,97,5.56,24.36,2.86
147,Upernavik,32,100,72.79,-4.74,4.11
148,Araouane,0,26,18.9,17.61,6.01
149,Willowmore,0,84,-33.29,14.51,5.61
150,Mount Isa,0,25,-20.73,26.0,2.6
151,Lucapa,68,98,-8.42,19.14,1.66
152,Leningradskiy,20,82,69.38,-9.42,6.71
153,Benguela,36,100,-12.58,23.11,1.46
154,Hilo,75,57,19.73,19.62,11.8
155,Saint-Francois,76,99,16.25,27.51,8.06
156,Naze,80,100,28.37,17.09,4.11
157,Craigieburn,90,82,-37.6,16.07,2.1
158,Wilmington,1,77,34.23,19.49,4.1
159,Synya,88,90,65.37,-0.12,4.61
160,Petropavlovsk-Kamchatskiy,64,100,53.05,-12.19,2.06
161,Sitka,90,81,57.05,7.27,4.1
162,Provideniya,88,100,64.38,-4.54,8.51
163,Yumen,8,77,40.28,-10.84,3.11
164,Biltine,8,33,14.53,20.84,5.31
165,Bambous Virieux,92,88,-20.34,24.14,4.66
166,Bessemer,90,93,33.4,12.19,2.1
167,Touros,56,90,-5.2,25.71,4.66
168,Thinadhoo,56,100,0.53,27.91,5.11
169,Santa Rosa,68,60,-36.62,22.21,3.66
170,Praia da Vitoria,75,88,38.73,20.0,7.71
171,Katsuura,0,100,35.13,10.46,4.91
172,Pemberton,20,85,50.32,0.0,1.0
173,Treinta y Tres,48,70,-33.23,19.31,5.46
174,Moerai,100,94,-22.43,25.99,7.26
175,Sungairaya,12,84,0.7,26.31,1.51
176,Smolenka,0,56,52.14,-25.17,2.26
177,North Bend,1,50,43.41,9.78,6.2
178,Cabo San Lucas,24,100,22.89,25.86,3.01
179,Lamesa,1,35,32.74,5.0,3.6
180,Port Lincoln,0,86,-34.73,18.51,1.66
181,Faanui,0,99,-16.48,28.24,5.51
182,Egvekinot,76,80,66.32,-9.89,5.51
183,Ilulissat,76,96,69.22,-9.89,1.66
184,Zyryanka,44,58,65.75,-24.49,0.71
185,Atar,0,28,20.52,19.09,5.26
186,Camargo,90,62,26.25,29.0,7.61
187,Sanchursk,88,76,56.94,-9.44,1.61
188,Concarneau,90,100,47.88,9.03,1.0
189,San Patricio,36,61,19.22,26.96,1.21
190,Tak Bai,88,98,6.26,23.16,1.51
191,Berberati,48,89,4.26,21.34,2.21
192,Fukue,76,100,32.69,12.14,5.46
193,Villa Maria,32,61,-32.41,22.46,4.11
194,Mweka,68,98,-4.85,21.76,1.61
195,Key West,1,78,24.56,25.0,3.1
196,Luwuk,20,97,-0.95,27.76,0.76
197,Camocim,0,71,-2.9,27.26,6.81
198,Caravelas,92,99,-17.71,26.39,2.06
199,Lorengau,64,100,-2.02,26.34,3.66
200,Aanekoski,80,93,62.6,-2.02,2.26
201,San Felipe,0,42,21.48,18.34,1.56
202,Gulf Gate Estates,40,83,27.25,23.41,0.71
203,Kongolo,0,96,-5.38,21.51,0.91
204,Kazachinskoye,80,86,57.7,-8.54,2.31
205,Cururupu,12,82,-1.83,26.81,3.76
206,Cayenne,92,100,4.93,24.66,3.01
207,La Ronge,0,68,55.1,-16.89,2.36
208,Neuquen,44,84,-38.95,18.06,2.61
209,Golden,75,74,51.3,-2.0,1.0
210,Eureka,1,31,40.8,16.49,1.5
211,Bethel,90,100,41.37,13.75,6.2
212,Washougal,1,57,45.58,10.01,8.7
213,Pangnirtung,90,72,66.15,-9.0,2.1
214,Nishihara,40,62,26.18,11.42,3.1
215,Orangeburg,1,72,33.49,19.57,2.1
216,Vanavara,88,83,60.34,-12.74,1.21
217,Hami,76,72,42.8,-8.54,2.41
218,Rio Grande,92,94,-32.03,20.11,7.66
219,Partizanske,88,80,48.63,2.25,5.7
220,Acarau,0,80,-2.89,26.26,6.06
221,Ixtapa,0,52,20.7,25.01,0.96
222,Malindi,0,92,-3.22,25.86,2.41
223,Kangaatsiaq,88,100,68.31,-5.17,6.61
224,Comodoro Rivadavia,0,71,-45.87,18.36,1.21
225,Svetlyy,92,94,54.67,7.21,9.61
226,Torbay,75,100,47.67,0.0,7.2
227,Saraipali,8,82,21.33,11.56,1.26
228,Tuatapere,76,84,-46.13,18.34,1.96
229,Homestead,1,94,25.47,24.22,2.1
230,Cidreira,92,96,-30.18,20.16,8.41
231,Bure,0,65,10.7,10.14,1.66
232,Talnakh,44,95,69.49,-17.77,1.96
233,Cascavel,88,95,-24.96,21.31,2.56
234,Havelock,1,93,34.88,18.0,3.6
235,Vanimo,36,100,-2.67,28.56,7.76
236,Talaya,32,61,61.38,-30.44,1.16
237,Nanortalik,76,94,60.14,-4.54,2.06
238,Ventspils,24,100,57.39,4.91,11.26
239,Manggar,8,100,-2.88,26.41,1.96
240,Yanji,36,61,42.91,-19.69,1.06
241,Farah,0,76,32.37,-5.27,1.61
242,Barstow,1,11,34.9,12.22,4.6
243,Lavrentiya,88,100,65.58,-2.52,11.61
244,Menongue,88,100,-14.66,16.89,1.31
245,Maniitsoq,88,97,65.42,-2.09,8.36
246,Grand Gaube,68,100,-20.01,24.86,7.06
247,Joshimath,88,94,30.57,-11.37,0.51
248,Manacapuru,56,85,-3.3,27.34,0.66
249,Omboue,80,100,-1.57,26.61,2.41
250,Ulaangom,12,42,49.98,-27.77,0.51
251,Nantucket,90,93,41.28,11.2,9.3
252,Penzance,88,95,50.12,11.49,8.21
253,Beringovskiy,88,100,63.05,-4.17,9.51
254,Najran,0,68,17.49,0.66,0.71
255,Kruisfontein,80,91,-34.0,17.76,6.81
256,Half Moon Bay,1,23,37.46,18.3,1.86
257,Pasni,0,100,25.26,17.51,5.76
258,Zhangye,12,55,38.93,-16.42,1.41
259,Civitavecchia,0,100,42.09,5.24,1.96
260,Sabang,64,99,5.89,28.61,4.21
261,Oussouye,0,88,12.48,24.48,2.1
262,Dunmore Town,24,99,25.5,26.09,7.91
263,Boulsa,68,39,12.67,20.66,2.56
264,Ziro,0,87,27.63,7.01,0.61
265,Nome,90,100,64.5,-2.0,8.7
266,Rawson,0,52,-43.3,23.06,10.21
267,Mehamn,88,100,71.04,-7.99,2.71
268,Port Augusta,0,64,-32.5,20.0,3.6
269,Wanning,20,100,18.8,22.14,5.26
270,Lodja,32,92,-3.48,22.96,1.76
271,Borogontsy,64,0,62.67,-40.69,1.51
272,Amalapuram,20,84,16.58,21.36,3.96
273,Kandrian,76,89,-6.22,27.56,2.51
274,Vao,88,100,-22.67,23.81,5.31
275,Bodden Town,20,74,19.28,29.0,7.2
276,Norman Wells,40,84,65.28,-17.0,1.5
277,Camacha,20,68,33.08,18.0,3.6
278,Port-Gentil,80,99,-0.72,26.39,2.21
279,Ciudad Bolivar,0,63,8.12,28.34,5.66
280,Valverde del Camino,0,71,37.58,-2.27,1.66
281,Komsomolskiy,80,98,43.98,7.39,6.96
282,Portree,92,96,57.41,10.66,12.11
283,Hovd,12,53,48.01,-25.19,1.31
284,Homer,75,75,59.64,3.95,6.16
285,Zeya,32,47,53.75,-34.67,1.16
286,Port Blair,56,100,11.67,25.61,5.36
287,Saint-Philippe,8,100,-21.36,25.14,7.01
288,Teguise,0,48,29.06,16.0,4.1
289,Lompoc,0,16,34.64,20.33,4.6
290,Cascais,0,57,38.7,7.96,2.6
291,Tecoanapa,0,69,16.52,25.09,1.36
292,Puerto Baquerizo Moreno,88,100,-0.9,22.49,5.36
293,Killybegs,92,98,54.63,10.24,9.16
294,Veinticinco de Mayo,44,44,-35.43,24.41,3.21
295,Keflavik,20,100,64.0,1.49,9.51
296,Mao,12,36,14.12,21.56,6.01
297,Grindavik,0,100,63.84,1.96,5.21
298,Aswan,0,78,24.09,17.49,4.21
299,Cauquenes,12,82,-35.97,14.91,1.46
300,Yuci,0,54,37.68,-15.24,1.11
301,Pitimbu,100,96,-7.47,26.46,4.21
302,Palana,88,100,59.12,-5.99,2.11
303,Pisco,20,80,-13.7,20.01,2.86
304,Evensk,68,100,61.95,-5.92,6.31
305,Swinoujscie,90,93,53.91,7.0,6.7
306,Pevek,12,86,69.7,-16.27,2.61
307,Kenai,90,95,60.55,1.51,8.7
308,Kathu,68,100,7.92,27.06,7.36
309,Dunedin,68,71,-45.87,19.96,2.96
310,Sambava,88,100,-14.27,24.86,7.16
311,Murray Bridge,0,89,-35.12,17.74,2.26
312,Souillac,92,88,-20.52,24.14,4.66
313,Machilipatnam,0,88,16.17,18.16,1.96
314,La Palma,92,100,8.4,25.41,1.51
315,Takoradi,32,100,4.88,27.71,1.46
316,Buraydah,0,68,26.33,3.11,1.96
317,South River,80,77,45.83,1.51,5.86
318,Portland,20,95,-38.33,17.24,1.66
319,Springdale,80,98,49.5,0.01,3.51
320,Shahr-e Babak,0,52,30.12,-4.69,1.31
321,Kodiak,1,80,57.79,4.0,6.2
322,Auki,92,100,-8.77,26.09,1.76
323,Parana,0,54,-31.73,22.66,3.36
324,Xining,48,58,36.62,-18.49,0.86
325,Tautira,20,62,-17.73,31.0,7.2
326,The Pas,75,65,53.83,-16.0,6.7
327,Lazaro Cardenas,0,83,17.96,26.71,2.01
328,Pointe-Noire,48,100,16.23,26.91,6.86
329,Shingu,0,100,33.73,9.11,8.61
330,Helong,44,69,42.54,-12.19,2.01
331,Tahta,8,94,26.77,12.31,4.11
332,Santiago,44,63,-14.19,20.49,1.76
333,Flin Flon,75,70,54.77,-19.0,4.6
334,Nabire,0,79,-3.37,26.26,0.41
335,Ossora,36,91,59.24,-5.42,5.51
336,Gigmoto,92,100,13.78,26.26,3.91
337,Letka,56,87,59.6,-4.94,2.76
338,Castro,0,71,-42.47,16.01,3.26
339,Sheltozero,88,100,61.37,-4.19,3.46
340,Kahului,40,44,20.89,23.59,12.3
341,Kavaratti,36,100,10.57,25.51,2.66
342,Kem,64,100,64.96,-7.64,2.46
343,Maibong,0,92,25.3,10.46,0.76
344,Bathsheba,88,100,13.22,26.89,8.41
345,Dingle,80,92,52.14,11.41,11.56
346,Siddapur,68,85,14.33,21.36,2.76
347,Seydi,0,86,39.48,-6.42,4.81
348,Verkhoyansk,44,77,67.54,-39.19,0.96
349,Hasaki,0,100,35.73,11.41,5.56
350,Karratha,48,70,-20.74,28.61,2.66
351,Matamoros,0,43,25.53,23.11,1.66
352,Erzin,44,77,50.26,-20.04,0.91
353,Carutapera,20,81,-1.2,27.41,4.81
354,Cockburn Town,88,96,24.03,25.99,10.21
355,Rajkot,92,96,22.3,17.11,4.76
356,Omsukchan,68,67,62.53,-23.94,1.51
357,Whitehorse,0,76,60.72,-2.77,3.21
358,Honiara,40,79,-9.43,29.0,1.0
359,Zarand,0,56,30.81,-11.14,1.81
360,Visby,12,100,57.64,4.76,7.51
361,Krasnoznamensk,48,72,55.6,-10.92,2.16
362,Kidal,24,40,18.44,14.41,2.76
363,Meadville,90,56,41.64,6.0,8.2
364,Ahuimanu,40,47,21.44,24.75,8.2
365,Puranpur,92,76,28.52,14.91,1.51
366,Poum,100,100,-20.23,24.06,11.06
367,Quartucciu,0,100,39.25,8.26,1.76
368,Agadez,56,48,19.75,16.34,5.46
369,Great Falls,40,38,47.5,2.99,3.1
370,Krasnoturansk,88,87,54.32,-11.49,1.31
371,Nelson Bay,40,68,-32.72,20.0,2.1
372,Wuwei,0,56,37.93,-18.92,0.36
373,Tamandare,0,94,-8.76,24.26,3.46
374,Santona,0,93,43.44,3.45,2.11
375,Coquimbo,0,98,-29.95,15.51,2.86
376,Bati,0,83,11.18,11.11,1.51
377,Oum Hadjer,0,47,13.3,17.84,3.36
378,Touba,0,77,8.28,21.99,1.26
379,Loyga,80,94,61.08,-3.84,4.41
380,Chillicothe,1,69,39.33,3.23,5.7
381,Timaru,36,69,-44.4,20.66,2.41
382,Dera Ghazi Khan,0,80,30.06,7.81,2.16
383,Rosarito,75,7,32.33,21.86,6.2
384,Abapo,92,84,-18.83,20.31,0.86
385,Jacqueville,56,94,5.21,25.51,1.96
386,Rifu,76,99,38.32,-0.12,4.56
387,Nogent-le-Rotrou,90,93,48.32,6.54,1.5
388,Padang,76,100,-0.95,27.84,2.76
389,Lagunas,8,83,-5.23,26.91,0.61
390,Tomatlan,20,50,19.93,27.26,1.16
391,Iqaluit,75,78,63.75,-9.0,1.0
392,Cabrobo,68,35,-8.51,28.84,2.06
393,Saint-Jean-de-Maurienne,90,52,45.28,1.0,1.5
394,Deputatskiy,56,72,69.3,-24.27,1.46
395,College,75,92,64.86,-8.4,4.6
396,Olinda,88,100,-8.01,26.24,4.16
397,Crotone,0,100,39.09,12.89,13.16
398,Port-Cartier,92,96,50.03,1.24,8.06
399,Powell River,75,86,49.85,4.33,2.1
400,Kutum,20,54,14.2,14.14,4.51
401,Sept-Iles,92,91,50.2,-1.99,4.86
402,Methoni,24,100,36.82,14.09,8.26
403,Ostrovnoy,88,94,68.05,-4.62,1.51
404,Yerbogachen,64,73,61.28,-24.12,1.31
405,Nhulunbuy,0,65,-12.23,28.0,1.5
406,Cockburn Town,56,100,21.46,25.21,11.06
407,Iwanai,48,100,42.97,-2.67,9.46
408,Saint-Pierre,0,100,-21.34,25.56,7.16
409,Meulaboh,36,100,4.14,26.51,4.76
410,Yukuhashi,76,63,33.73,6.21,1.36
411,Tefe,24,92,-3.35,25.41,1.16
412,Pasighat,0,71,28.07,11.99,1.06
413,San Policarpo,68,100,12.18,26.84,1.86
414,Hualmay,20,85,-11.1,18.14,2.61
415,Rocky Mountain House,0,50,52.37,-0.14,5.01
416,Labuhan,76,100,-6.88,27.99,3.01
417,Sangar,64,0,63.92,-42.87,1.66
418,Gizo,24,100,-8.1,29.76,2.71
419,Bambanglipuro,12,91,-7.95,24.81,1.96
420,Beira,92,90,-19.84,23.46,1.46
421,Betare Oya,68,49,5.6,21.11,1.56
422,Villa Bruzual,0,49,9.33,28.36,2.21
423,Balkanabat,36,82,39.51,-4.89,2.06
424,Kyren,76,82,51.68,-16.54,0.76
425,Miri,75,94,4.41,24.0,1.56
426,Moree,0,62,-29.47,22.89,3.41
427,Motygino,76,88,58.18,-8.17,2.41
428,Uusikaupunki,20,95,60.8,2.46,6.16
429,Claremorris,92,97,53.72,9.84,8.41
430,Sapozhok,76,93,53.94,-4.19,3.16
431,Appingedam,76,98,53.32,7.16,9.06
432,Tunceli,92,100,39.11,0.91,1.06
433,Vostok,32,66,46.49,-26.49,0.86
434,Hammerfest,76,100,70.66,1.16,4.96
435,Caxito,36,85,-8.58,23.36,1.31
436,Kaniama,12,94,-7.57,19.59,0.51
437,Fomento,44,69,22.1,24.39,4.51
438,Uirauna,64,38,-6.52,29.36,3.46
439,Yar-Sale,80,95,66.83,-2.84,10.41
440,San Blas,0,40,21.52,27.09,1.36
441,Billings,75,51,45.78,2.0,9.3
442,Pangoa,36,95,-12.12,20.26,0.36
443,Maumere,20,100,-8.62,28.61,0.91
444,Maputo,92,100,-25.97,20.89,4.86
445,Lang Son,0,92,21.83,8.24,1.21
446,Filottrano,0,73,43.44,-4.54,1.16
447,Hamilton,24,100,32.29,20.56,4.71
448,Vila Velha,100,100,-20.33,23.99,7.36
449,Huntsville,90,56,45.33,6.0,8.2
450,Scarborough,92,99,11.18,28.01,9.26
451,Kashan,12,82,33.98,-1.24,1.11
452,Agadir,0,72,30.42,16.0,3.6
453,Sorland,36,100,67.67,5.66,9.26
454,Bundaberg,0,95,-24.85,24.89,4.16
455,Turukhansk,92,87,65.82,-6.64,7.01
456,Tugulym,44,85,57.06,-6.14,5.36
457,Arandis,0,93,-22.42,15.76,0.86
458,Fort Nelson,40,68,58.81,-2.0,1.5
459,Pando,40,72,-34.72,20.0,7.2
460,Orchard Homes,90,69,46.86,1.0,2.6
461,Lynn Haven,75,88,30.25,22.0,5.7
462,Clyde River,90,84,70.47,-13.0,11.3
463,Sechura,8,75,-5.56,21.84,7.91
464,Starobaltachevo,88,85,56.0,-3.84,7.21
465,La Grande,1,69,45.32,1.4,1.06
466,Ketchikan,90,93,55.34,8.34,4.6
467,Plettenberg Bay,0,93,-34.05,17.84,8.96
468,Luocheng,92,98,29.38,8.51,1.71
469,Te Anau,56,65,-45.42,21.89,1.21
470,Kitgum,44,48,3.28,22.11,3.21
471,Luanda,32,98,-8.84,23.71,1.61
472,Leh,0,30,34.17,-34.59,0.61
473,Ghorawal,0,80,24.77,7.66,1.21
474,Provins,90,100,48.55,5.49,2.1
475,Hofn,92,100,64.25,1.36,10.06
476,Litovko,0,47,49.24,-33.94,0.96
477,Nizhneudinsk,76,75,54.91,-7.94,2.66
478,Kirakira,92,100,-10.45,26.36,6.56
479,Linxia,0,59,35.6,-18.39,1.06
480,Rocha,0,61,-34.48,16.86,4.16
481,Fort Frances,90,72,48.6,-12.0,6.7
482,Brae,92,93,60.4,9.86,9.71
483,Kariba,100,48,-16.52,28.84,2.71
484,Yicheng,0,100,31.37,2.11,3.21
485,Vikhorevka,88,74,56.12,-8.54,3.76
486,Mackay,0,99,-21.15,26.64,1.71
487,Plouzane,90,93,48.38,8.24,2.1
488,Huarmey,8,76,-10.07,18.61,1.81
489,Buala,48,89,-8.14,29.24,1.76
490,Skagen,56,94,57.72,9.41,12.56
491,Yatou,0,100,37.15,-1.77,3.86
492,Salalah,0,100,17.02,23.51,4.76
493,Wyndham,80,79,-46.33,22.26,1.96
494,Qaqortoq,80,97,60.72,-2.34,1.06
495,Cancun,80,78,21.17,26.84,3.26
496,Chiavari,0,80,44.32,-5.92,0.16
497,Okha,0,100,53.57,-27.12,1.86
498,Panaba,44,55,21.28,27.59,3.11
499,Grenada,75,70,33.77,8.0,3.1
